include,name,animal,address,area,walk_min,price_30min,contact_level,animal_count,quietness,open_time,close_time,latitude,longitude,official_url,source_url,memo
yes,Neko cafe Cloud,猫,〒231-0023 神奈川県横浜市中区山下町２１４−２,,,,,,,,,35.4427926,139.6435851,,https://animal-cafe.com/cafe/ChIJIez0j3hdGGAR36sRWjvBujc,要確認(名前の一致度が低い)
yes,Nyankuru Sakuragicho,猫,〒231-0063 神奈川県横浜市中区花咲町１丁目 桜木町ビル,,,,,,,,,35.4494763,139.630605,,https://animal-cafe.com/cafe/2662660,要確認(名前の一致度が低い)
yes,nekochan10issho,猫,〒231-0023 神奈川県横浜市中区山下町ロンシンリューズタワー,,,,,,,,,35.4423746,139.650186,,https://animal-cafe.com/cafe/ChIJ9wT6cuJdGGAR-U0VUM_YmVk,要確認(名前の一致度が低い)
yes,保護猫VELCAT馬車道店,猫,〒231-0007 神奈川県横浜市中区弁天通３丁目 弁三ビル,,,,,,,,,35.4476902,139.6381953,,https://animal-cafe.com/cafe/ChIJCQA8drhdGGARAdok31WRqNY,Google情報と一致
yes,保護猫の家＊ARIGATO,猫,神奈川県横浜市神奈川区六角橋6-29-16 エミネンス白楽2階・208号室,,,,,,,,,35.494744,139.6192708,https://adicotv.wixsite.com/arigato,https://animal-cafe.com/cafe/ChIJHwOmQrdeGGARY7KucDqxFqg,確認済み
no,Party Animals,その他,神奈川県横浜市中区石川町1-19 キクヤビル2F,,,,,,,,,35.4379598,139.6442261,,https://animal-cafe.com/cafe/2662663,動物カフェか未確認
no,Owl,フクロウ,〒231-0023 神奈川県横浜市中区山下町１８５ エル,,,,,,,,,35.4437472,139.6475969,,https://animal-cafe.com/cafe/ChIJVVXpx_xcGGAR_y0Ac6wuo0k,動物カフェか未確認
no,Ｍ’ｓＰＯＲＴ,小動物ほか,〒231-0023 神奈川県横浜市中区山下町１０３−３ エムズポート sPORT1階,,,,,,,,,35.4424552,139.6481222,,https://animal-cafe.com/cafe/2671048,動物カフェか未確認
no,&LATTE.,犬,神奈川県横浜市中区山下町25-14 モナニビルディング1F,,,,,,,,,35.4456714,139.6465432,,https://animal-cafe.com/cafe/ChIJg44YmWNdGGARplpZ9Y08524,ペット同伴可カフェ(ふれあい店ではない)
no,HOLOHOLOcafe,犬,神奈川県横浜市港北区日吉7-7-3,,,,,,,,,35.5546318,139.6547746,,https://animal-cafe.com/cafe/ChIJuTeG4_BfGGARoVatzNYTQzo,ペット同伴可カフェ(ふれあい店ではない)
no,Yokohama Kanai Cafe & Bar GLOW,犬,〒231-0041 神奈川県横浜市中区吉田町４−６,,,,,,,,,35.4456239,139.6332471,,https://animal-cafe.com/cafe/ChIJOSkPQ_RcGGAReHJyIP7hZ9A,動物カフェか未確認
no,cafe Tasha,犬,神奈川県横浜市中区元町1-59-2,,,,,,,,,35.4397707,139.6495135,,https://animal-cafe.com/cafe/ChIJM6dxx-tdGGAR9A-BQ7j9pDQ,ペット同伴可カフェ(ふれあい店ではない)
